idx	label	predict	radius	correct	time
0	tensor([1], dtype=torch.int32)	1	0.616	1	0:00:35.316011
1	tensor([5], dtype=torch.int32)	5	0.182	1	0:00:34.834463
2	tensor([8], dtype=torch.int32)	8	0.616	1	0:00:33.721501
3	tensor([2], dtype=torch.int32)	2	0.616	1	0:00:34.005894
4	tensor([5], dtype=torch.int32)	8	0.307	0	0:00:33.499167
5	tensor([5], dtype=torch.int32)	6	0.616	0	0:00:33.921903
6	tensor([0], dtype=torch.int32)	0	0.557	1	0:00:34.016048
7	tensor([7], dtype=torch.int32)	7	0.616	1	0:00:33.987280
8	tensor([7], dtype=torch.int32)	7	0.0561	1	0:00:33.908303
9	tensor([4], dtype=torch.int32)	3	0.0814	0	0:00:34.150676
10	tensor([0], dtype=torch.int32)	0	0.616	1	0:00:33.623456
11	tensor([6], dtype=torch.int32)	6	0.616	1	0:00:33.550274
12	tensor([0], dtype=torch.int32)	0	0.616	1	0:00:33.714310
13	tensor([8], dtype=torch.int32)	8	0.616	1	0:00:34.861521
14	tensor([7], dtype=torch.int32)	7	0.616	1	0:04:05.669396
15	tensor([2], dtype=torch.int32)	3	0.245	0	0:04:06.027475
16	tensor([0], dtype=torch.int32)	0	0.616	1	0:04:07.830676
17	tensor([0], dtype=torch.int32)	-1	0.0	0	0:03:10.602361
18	tensor([1], dtype=torch.int32)	1	0.616	1	0:01:30.798777
19	tensor([3], dtype=torch.int32)	3	0.616	1	0:01:30.376531
20	tensor([0], dtype=torch.int32)	0	0.616	1	0:01:39.240366
21	tensor([6], dtype=torch.int32)	6	0.616	1	0:01:51.063453
22	tensor([2], dtype=torch.int32)	8	0.589	0	0:03:01.021058
23	tensor([6], dtype=torch.int32)	6	0.616	1	0:03:24.346314
24	tensor([2], dtype=torch.int32)	2	0.616	1	0:05:15.441690
25	tensor([2], dtype=torch.int32)	2	0.544	1	0:06:49.095884
26	tensor([9], dtype=torch.int32)	7	0.616	0	0:11:38.558153
27	tensor([9], dtype=torch.int32)	9	0.616	1	0:08:31.823620
28	tensor([3], dtype=torch.int32)	3	0.616	1	0:08:18.253196
29	tensor([3], dtype=torch.int32)	3	0.616	1	0:06:40.984483
30	tensor([3], dtype=torch.int32)	8	0.043	0	0:07:25.588516
31	tensor([0], dtype=torch.int32)	0	0.396	1	0:08:06.708960
32	tensor([4], dtype=torch.int32)	4	0.524	1	0:06:51.664398
33	tensor([6], dtype=torch.int32)	6	0.616	1	0:05:39.344574
34	tensor([4], dtype=torch.int32)	4	0.616	1	0:05:35.371033
35	tensor([3], dtype=torch.int32)	4	0.242	0	0:06:24.907734
36	tensor([3], dtype=torch.int32)	3	0.616	1	0:12:32.333411
37	tensor([8], dtype=torch.int32)	8	0.616	1	0:07:07.751963
38	tensor([1], dtype=torch.int32)	1	0.616	1	0:04:34.011369
39	tensor([7], dtype=torch.int32)	7	0.316	1	0:05:06.816431
