idx	label	predict	radius	correct	time
0	tensor([18], dtype=torch.int32)	1	0.00231	0	0:00:45.423564
1	tensor([10], dtype=torch.int32)	6	0.137	0	0:00:45.564972
2	tensor([13], dtype=torch.int32)	16	0.371	0	0:00:44.807164
3	tensor([19], dtype=torch.int32)	3	0.356	0	0:00:44.141968
4	tensor([13], dtype=torch.int32)	17	0.16	0	0:00:44.649005
5	tensor([14], dtype=torch.int32)	7	0.404	0	0:00:44.783527
6	tensor([13], dtype=torch.int32)	13	0.616	1	0:00:44.708130
7	tensor([10], dtype=torch.int32)	1	0.508	0	0:00:44.769442
8	tensor([11], dtype=torch.int32)	11	0.616	1	0:00:44.214651
9	tensor([19], dtype=torch.int32)	15	0.22	0	0:00:44.609758
10	tensor([12], dtype=torch.int32)	-1	0.0	0	0:21:00.925263
11	tensor([19], dtype=torch.int32)	-1	0.0	0	0:06:45.203490
12	tensor([14], dtype=torch.int32)	-1	0.0	0	0:09:03.686117
13	tensor([18], dtype=torch.int32)	18	0.616	1	0:05:36.641862
14	tensor([10], dtype=torch.int32)	4	0.106	0	0:08:58.512577
15	tensor([15], dtype=torch.int32)	15	0.441	1	0:07:05.906334
16	tensor([19], dtype=torch.int32)	6	0.148	0	0:04:14.738900
17	tensor([12], dtype=torch.int32)	12	0.253	1	0:04:28.689224
18	tensor([18], dtype=torch.int32)	7	0.508	0	0:04:00.671724
19	tensor([12], dtype=torch.int32)	13	0.296	0	0:04:01.346061
20	tensor([17], dtype=torch.int32)	16	0.0469	0	0:02:15.329864
21	tensor([19], dtype=torch.int32)	8	0.0626	0	0:05:38.535546
22	tensor([14], dtype=torch.int32)	6	0.419	0	0:04:26.627385
23	tensor([18], dtype=torch.int32)	6	0.589	0	0:06:34.509025
24	tensor([11], dtype=torch.int32)	2	0.501	0	0:04:24.564423
25	tensor([18], dtype=torch.int32)	18	0.616	1	0:04:39.027943
26	tensor([15], dtype=torch.int32)	15	0.495	1	0:04:49.356117
27	tensor([14], dtype=torch.int32)	14	0.616	1	0:04:19.636732
28	tensor([17], dtype=torch.int32)	17	0.142	1	0:09:07.930057
29	tensor([16], dtype=torch.int32)	7	0.467	0	0:02:53.718597
