idx	label	predict	radius	correct	time
0	tensor([2], dtype=torch.int32)	2	0.108	1	0:01:05.225431
1	tensor([9], dtype=torch.int32)	14	0.373	0	0:01:04.456199
2	tensor([1], dtype=torch.int32)	1	0.616	1	0:01:04.350445
3	tensor([9], dtype=torch.int32)	9	0.616	1	0:01:04.301257
4	tensor([8], dtype=torch.int32)	8	0.616	1	0:01:04.258123
5	tensor([5], dtype=torch.int32)	5	0.239	1	0:01:04.302444
6	tensor([7], dtype=torch.int32)	7	0.534	1	0:01:04.380383
7	tensor([4], dtype=torch.int32)	3	0.328	0	0:01:04.335058
8	tensor([6], dtype=torch.int32)	6	0.616	1	0:01:06.947519
9	tensor([2], dtype=torch.int32)	2	0.571	1	0:01:08.924187
10	tensor([0], dtype=torch.int32)	0	0.616	1	0:01:07.732210
11	tensor([9], dtype=torch.int32)	9	0.616	1	0:01:07.725360
12	tensor([3], dtype=torch.int32)	19	0.407	0	0:01:07.658384
13	tensor([5], dtype=torch.int32)	5	0.534	1	0:01:07.554656
14	tensor([4], dtype=torch.int32)	4	0.589	1	0:01:07.758070
15	tensor([7], dtype=torch.int32)	-1	0.0	0	0:01:07.799461
16	tensor([8], dtype=torch.int32)	8	0.616	1	0:01:07.638392
17	tensor([2], dtype=torch.int32)	2	0.616	1	0:01:07.644040
18	tensor([5], dtype=torch.int32)	5	0.616	1	0:01:07.645949
19	tensor([3], dtype=torch.int32)	2	0.258	0	0:01:07.705516
20	tensor([7], dtype=torch.int32)	7	0.616	1	0:01:07.918652
21	tensor([5], dtype=torch.int32)	1	0.419	0	0:01:07.696658
22	tensor([9], dtype=torch.int32)	9	0.616	1	0:01:07.733860
23	tensor([1], dtype=torch.int32)	1	0.616	1	0:01:07.653102
24	tensor([2], dtype=torch.int32)	2	0.501	1	0:01:07.394724
25	tensor([9], dtype=torch.int32)	13	0.316	0	0:01:07.409138
26	tensor([6], dtype=torch.int32)	6	0.616	1	0:01:07.376059
27	tensor([5], dtype=torch.int32)	5	0.245	1	0:01:07.437746
28	tensor([6], dtype=torch.int32)	6	0.589	1	0:01:07.391865
29	tensor([4], dtype=torch.int32)	4	0.307	1	0:01:07.378491
30	tensor([6], dtype=torch.int32)	6	0.616	1	0:01:07.488629
